time,sensor
2019-4-5,54
2019-4-5,54
2019-4-5,46
2019-4-5,42
2019-4-5,42
2019-4-5,41
2019-4-5,40
2019-4-5,40
2019-4-5,40
2019-4-5,34
2019-4-5,34
2019-4-5,30
2019-4-5,28
2019-4-5,28
2019-4-5,24
2019-4-5,24
2019-4-5,24
2019-4-5,24
2019-4-5,22
2019-4-5,22
2019-4-5,24
2019-4-5,24
2019-4-5,24
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,24
2019-4-5,24
2019-4-5,24
2019-4-5,24
2019-4-5,24
2019-4-5,25
2019-4-5,25
2019-4-5,25
2019-4-5,25
2019-4-5,26
2019-4-5,26
2019-4-5,26
2019-4-5,26
2019-4-5,26
2019-4-5,28
2019-4-5,27
2019-4-5,27
2019-4-5,27
2019-4-5,31
2019-4-5,31
2019-4-5,31
2019-4-5,31
2019-4-5,31
2019-4-5,32
2019-4-5,32
2019-4-5,32
2019-4-5,32
2019-4-5,33
2019-4-5,33
2019-4-5,33
2019-4-5,33
2019-4-5,33
2019-4-5,34
2019-4-5,34
2019-4-5,34
2019-4-5,34
2019-4-5,38
2019-4-5,38
2019-4-5,38
2019-4-5,38
2019-4-5,38
2019-4-5,42
2019-4-5,42
2019-4-5,42
2019-4-5,42
2019-4-5,48
2019-4-5,48
2019-4-5,53
2019-4-5,57
2019-4-5,57
2019-4-5,62
2019-4-5,63
2019-4-5,63
2019-4-5,60
2019-4-5,58
2019-4-5,58
2019-4-5,55
2019-4-5,51
2019-4-5,51
2019-4-5,47
2019-4-5,39
2019-4-5,39
2019-4-5,33
2019-4-5,28
2019-4-5,28
2019-4-5,28
2019-4-5,27
2019-4-5,27
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,24
2019-4-5,26
2019-4-5,26
2019-4-5,30
2019-4-5,35
2019-4-5,35
2019-4-5,41
2019-4-5,44
2019-4-5,44
2019-4-5,50
2019-4-5,54
2019-4-5,54
2019-4-5,54
2019-4-5,54
2019-4-5,54
2019-4-5,55
2019-4-5,55
2019-4-5,55
2019-4-5,55
2019-4-5,60
2019-4-5,60
2019-4-5,59
2019-4-5,59
2019-4-5,59
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,66
2019-4-5,66
2019-4-5,66
2019-4-5,66
2019-4-5,68
2019-4-5,68
2019-4-5,68
2019-4-5,68
2019-4-5,68
2019-4-5,66
2019-4-5,67
2019-4-5,67
2019-4-5,67
2019-4-5,67
2019-4-5,67
2019-4-5,66
2019-4-5,66
2019-4-5,66
2019-4-5,67
2019-4-5,68
2019-4-5,68
2019-4-5,70
2019-4-5,71
2019-4-5,71
2019-4-5,71
2019-4-5,74
2019-4-5,74
2019-4-5,74
2019-4-5,73
2019-4-5,73
2019-4-5,75
2019-4-5,76
2019-4-5,76
2019-4-5,74
2019-4-5,72
2019-4-5,72
2019-4-5,71
2019-4-5,71
2019-4-5,71
2019-4-5,71
2019-4-5,66
2019-4-5,66
2019-4-5,66
2019-4-5,66
2019-4-5,66
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,63
2019-4-5,63
2019-4-5,63
2019-4-5,62
2019-4-5,62
2019-4-5,62
2019-4-5,62
2019-4-5,62
2019-4-5,62
2019-4-5,61
2019-4-5,61
2019-4-5,61
2019-4-5,61
2019-4-5,61
2019-4-5,61
2019-4-5,61
2019-4-5,61
2019-4-5,61
2019-4-5,62
2019-4-5,62
2019-4-5,62
2019-4-5,62
2019-4-5,62
2019-4-5,62
2019-4-5,63
2019-4-5,63
2019-4-5,63
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,63
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,63
2019-4-5,63
2019-4-5,63
2019-4-5,63
2019-4-5,63
2019-4-5,63
2019-4-5,64
2019-4-5,64
2019-4-5,64
2019-4-5,63
2019-4-5,63
2019-4-5,63
2019-4-5,63
2019-4-5,63
2019-4-5,59
2019-4-5,59
2019-4-5,59
2019-4-5,58
2019-4-5,56
2019-4-5,56
2019-4-5,56
2019-4-5,56
2019-4-5,56
2019-4-5,54
2019-4-5,54
2019-4-5,54
2019-4-5,54
2019-4-5,51
2019-4-5,51
2019-4-5,51
2019-4-5,51
2019-4-5,51
2019-4-5,48
2019-4-5,48
2019-4-5,48
2019-4-5,48
2019-4-5,44
2019-4-5,44
2019-4-5,44
2019-4-5,44
2019-4-5,44
2019-4-5,42
2019-4-5,42
2019-4-5,42
2019-4-5,42
2019-4-5,39
2019-4-5,39
2019-4-5,39
2019-4-5,39
2019-4-5,39
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,37
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,34
2019-4-5,34
2019-4-5,34
2019-4-5,34
2019-4-5,47
2019-4-5,47
2019-4-5,61
2019-4-5,73
2019-4-5,98
2019-4-5,110
2019-4-5,124
2019-4-5,136
2019-4-5,151
2019-4-5,156
2019-4-5,156
2019-4-5,156
2019-4-5,153
2019-4-5,152
2019-4-5,158
2019-4-5,158
2019-4-5,147
2019-4-5,151
2019-4-5,152
2019-4-5,152
2019-4-5,155
2019-4-5,164
2019-4-5,174
2019-4-5,174
2019-4-5,170
2019-4-5,172
2019-4-5,181
2019-4-5,173
2019-4-5,169
2019-4-5,169
2019-4-5,169
2019-4-5,152
2019-4-5,144
2019-4-5,130
2019-4-5,135
2019-4-5,123
2019-4-5,118
2019-4-5,110
2019-4-5,100
2019-4-5,91
2019-4-5,83
2019-4-5,82
2019-4-5,82
2019-4-5,80
2019-4-5,81
2019-4-5,81
2019-4-5,81
2019-4-5,75
2019-4-5,75
2019-4-5,75
2019-4-5,72
2019-4-5,72
2019-4-5,72
2019-4-5,71
2019-4-5,71
2019-4-5,70
2019-4-5,69
2019-4-5,69
2019-4-5,71
2019-4-5,71
2019-4-5,71
2019-4-5,71
2019-4-5,74
2019-4-5,74
2019-4-5,74
2019-4-5,74
2019-4-5,74
2019-4-5,74
2019-4-5,75
2019-4-5,75
2019-4-5,72
2019-4-5,72
2019-4-5,72
2019-4-5,72
2019-4-5,72
2019-4-5,72
2019-4-5,72
2019-4-5,69
2019-4-5,69
2019-4-5,66
2019-4-5,66
2019-4-5,66
2019-4-5,62
2019-4-5,61
2019-4-5,61
2019-4-5,61
2019-4-5,59
2019-4-5,59
2019-4-5,59
2019-4-5,58
2019-4-5,58
2019-4-5,55
2019-4-5,55
2019-4-5,55
2019-4-5,55
2019-4-5,52
2019-4-5,52
2019-4-5,52
2019-4-5,52
2019-4-5,52
2019-4-5,48
2019-4-5,48
2019-4-5,48
2019-4-5,48
2019-4-5,45
2019-4-5,45
2019-4-5,45
2019-4-5,45
2019-4-5,45
2019-4-5,43
2019-4-5,42
2019-4-5,42
2019-4-5,42
2019-4-5,42
2019-4-5,42
2019-4-5,46
2019-4-5,47
2019-4-5,47
2019-4-5,48
2019-4-5,50
2019-4-5,50
2019-4-5,50
2019-4-5,51
2019-4-5,51
2019-4-5,48
2019-4-5,47
2019-4-5,47
2019-4-5,45
2019-4-5,45
2019-4-5,45
2019-4-5,43
2019-4-5,40
2019-4-5,40
2019-4-5,40
2019-4-5,38
2019-4-5,38
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,36
2019-4-5,32
2019-4-5,32
2019-4-5,32
2019-4-5,32
2019-4-5,32
2019-4-5,30
2019-4-5,30
2019-4-5,30
2019-4-5,30
2019-4-5,27
2019-4-5,27
2019-4-5,27
2019-4-5,27
2019-4-5,27
2019-4-5,25
2019-4-5,25
2019-4-5,25
2019-4-5,25
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,23
2019-4-5,24
2019-4-5,24
2019-4-5,24
2019-4-5,25
2019-4-5,25
2019-4-5,25
2019-4-5,25
2019-4-5,25
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,21
2019-4-5,21
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,14
2019-4-5,14
2019-4-5,14
2019-4-5,14
2019-4-5,14
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,20
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,23
2019-4-5,23
2019-4-5,23
2019-4-5,23
2019-4-5,23
2019-4-5,23
2019-4-5,23
2019-4-5,23
2019-4-5,23
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,21
2019-4-5,21
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,22
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,21
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,19
2019-4-5,17
2019-4-5,18
2019-4-5,18
2019-4-5,18
2019-4-5,17
2019-4-5,17
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,17
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,15
2019-4-5,17
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
2019-4-5,16
